Country,new.forest,Rural,log.CO2,log.GNI,log.Energy.2011,LifeExp,Fertility,InfMort,log.Exports,log.Imports,CellPhone,RuralWater,Pop
Chile,-2.614350651,10.825,1.461661878,9.567315271,7.57029898,79.57265854,1.832,7.1,3.638230558,3.551478589,134.2782809,91.3,17619708
Kazakhstan,1.90511324,46.639,2.73041606,9.188094763,8.458975784,69.61,2.59,14.6,3.901466767,3.323198525,180.5020819,86,17037508
Netherlands,-2.407717062,10.729,2.403187149,10.78124533,8.441988283,81.10487805,1.72,3.3,4.429212809,4.321228728,113.7299037,100,16804224
Ecuador,5.609161336,36.702,0.822242809,8.550627968,6.743854336,76.19256098,2.59,19.1,3.451303806,3.538436942,111.4620027,75.2,15737878
Guatemala,5.034422369,49.339,-0.133242755,8.048788284,6.538262585,71.66385366,3.844,25.8,3.281866431,3.620567904,140.393535,88.6,15468203
Cambodia,4.897591548,79.681,-0.939014768,6.779921907,5.90028732,71.40882927,2.894,32.5,3.990478409,4.085994592,133.8902393,65.6,15135169
Zambia,2.634704284,59.973,-1.259946258,7.251344983,6.43078853,57.02258537,5.731,55.8,3.829700204,3.611910261,71.50463179,49.2,14538640
Zimbabwe,5.697195807,67.346,-0.197292168,6.684611728,6.5468933,58.04597561,3.564,55,3.757931516,4.353266577,96.3498668,68.7,14149648
Senegal,3.196562198,56.921,-0.438395115,6.937314081,5.574629633,63.20217073,4.981,43.9,3.225526038,3.730177095,92.92798275,60.3,14133280
Belgium,-0.65223171,2.224,2.310210309,10.71018661,8.584660157,80.38536585,1.79,3.5,4.442465493,4.432656894,110.9031799,100,11195138
Greece,-4.487698318,22.657,2.063683065,10.0719637,7.784234934,80.63414634,1.34,3.7,3.221070705,3.500906635,116.8206478,99.4,11032328
Tunisia,-7.845712839,33.544,0.937309116,8.352318548,6.791647597,75.1,2.17,13.1,3.899300587,4.033103188,115.6035799,90.5,10886500
Bolivia,3.14579256,32.304,0.483542083,7.705262475,6.614935656,66.92663415,3.264,31.2,3.786876556,3.648367932,97.69945273,71.9,10671200
Czech Republic,-1.103264632,26.94,2.376674692,9.805323304,8.32788531,78.07560976,1.45,2.9,4.288957918,4.230372041,131.2534239,99.6,10521468
Portugal,-2.026277627,37.662,1.619842272,9.934016758,7.690060059,80.37317073,1.28,3.1,3.574632428,3.690155767,113.035602,99.9,10459806
Dominican Republic,0,22.918,0.785228718,8.599694413,6.589548632,73.23297561,2.517,23.6,3.22071992,3.565713716,88.43350015,77.2,10403761
Benin,4.750318602,56.914,-0.437532943,6.620073207,5.952102492,59.1194878,4.927,56.2,2.706843759,3.294401447,93.25782193,69.1,10323474
Haiti,3.782901641,43.832,-1.157816532,6.633318433,5.768448855,62.70265854,3.212,54.7,2.597975432,3.992060125,69.39885695,47.5,10317461
Hungary,-3.698822539,29.694,1.640597019,9.429475902,7.82542454,75.06341463,1.34,5.2,4.543275192,4.460179918,116.4278724,100,9897247
Sweden,-1.838380132,14.486,1.740421303,10.93524753,8.554554297,81.70487805,1.91,2.4,3.909128179,3.790550341,124.3952501,100,9592552
Belarus,-3.452952241,24.123,1.895601277,8.764053269,8.0437322,72.06341463,1.62,3.7,4.396002026,4.419677139,118.786176,99,9466000
Azerbaijan,0,45.9,1.639142113,8.74671635,7.222071643,70.62495122,2,29.9,4.032947422,3.181425825,107.6134072,70.7,9416598
United Arab Emirates,-5.511398208,15.019,2.993419487,10.56152556,8.910182683,76.95787805,1.82,7,4.503306079,4.28053198,171.8737993,100,9346129
Austria,-1.790097526,34.116,2.088605428,10.77812261,8.275864605,80.93658537,1.44,3.2,4.048318047,3.994698209,156.2304116,100,8473786
Tajikistan,-0.700140042,73.379,-0.744436956,6.779921907,5.725201254,67.25717073,3.819,40.9,2.882112659,4.207266166,91.8281242,64,8207834
Honduras,6.255774127,46.463,0.151724357,7.668561108,6.412618747,73.49343902,3.05,18.9,3.936864994,4.262104691,95.91916853,81.5,8097688
Switzerland,-2.920909371,26.213,1.619975771,11.30158696,8.073079874,82.69756098,1.52,3.6,3.936759386,3.71046252,133.79826,100,8081482
Israel,-4.045199175,7.988,2.237302864,10.37442824,8.004515131,81.70487805,3.04,3.2,3.56958338,3.583483237,122.8478352,100,8059400
Bulgaria,-4.620884102,26.7,1.815029748,8.832003931,7.869032869,74.31463415,1.5,10.1,4.19715621,4.197481553,145.1876887,99,7265115
Serbia,-4.625162855,44.627,1.856857806,8.58485184,7.713059061,75.23414634,1.32,5.8,3.599265979,3.969914259,119.3917104,98.9,7163976
Togo,7.809782374,61.021,-1.066435013,6.194405391,6.056903482,56.15034146,4.695,55.8,3.674645665,4.031228887,62.53490181,40.3,6816982
Paraguay,4.311126401,40.826,-0.121425016,8.107720062,6.605306221,72.19373171,2.897,18.7,3.963456083,3.913950214,103.6893284,83.4,6802295
Jordan,0,16.789,1.26520012,8.446770727,7.041326875,73.74739024,3.314,16,3.86398806,4.302160013,141.7962745,90.5,6459000
El Salvador,5.119267189,34.225,0.099740838,8.188689124,6.537127246,72.10453659,2.209,13.5,3.331491174,3.842956045,136.1874402,81,6340454
Nicaragua,5.840897474,41.854,-0.12671037,7.432483808,6.243199302,74.46539024,2.541,20,3.690407785,4.021385091,111.9801766,67.8,6080478
